Population_id	lineage	Clade	Habitat_suitability	Annual_mean_fecundity	Sample_size	site1	site2	site3	site4	site5	site6	site7	site8	site9	site10	site11	site12	site13	site14	site15	site16	site17	site18	site19	site20	site21	site22	site23	site24	site25	site26	site27	site28	site29	site30	site31	site32	site33	site34	site35	site36	site37	site38	site39
POP18	SE-2	South	0.475843012	4.25	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.090909091	0	0	0	0	0	0	0.590909091	1	0	0	0	0.454545455	0	1	0	0.272727273	0.272727273	0.272727273	0.136363636	0.227272727	0.727272727	0
POP19	E-W	South	0.57831198	6.05	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333	0	0	0	0	0	0	0.666666667	1	0	0	0	0.388888889	0	1	0	0	0	0.111111111	0	0.555555556	0.444444444	0
POP20	SE-1	South	0.372628987	3.95	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.055555556	0	0	0	0	0	0	0.666666667	0.944444444	0	0	0.055555556	0.333333333	0	1	0	0	0	0	0	0.666666667	0.333333333	0
POP21	E-W	South	0.700901985	6.00	8	0	0.0625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.375	0	0	0.25	0	0	0	0.8125	1	0	0	0	0.1875	0	1	0	0.125	0.125	0.1875	0	0.625	0.375	0
POP23	E-W	South	0.352521986	5.30	8	0	0.125	0	0	0	0	0	0	0.0625	0	0	0	0	0	0	0	0.25	0	0	0.125	0	0	0	0.9375	1	0.0625	0	0	0	0.0625	1	0	0	0	0.0625	0	0.9375	0.0625	0
POP25	E-W	South	0.389468014	NA	12	0	0.041666667	0	0	0	0	0.041666667	0	0	0	0	0	0	0	0	0	0.166666667	0.041666667	0	0.041666667	0	0	0	0.875	1	0	0.041666667	0	0.125	0	1	0	0	0	0.083333333	0	0.75	0.208333333	0
POP26	E-W	South	0.331959993	5.17	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.375	0	0	0.0625	0	0	0	0.9375	1	0	0	0	0.0625	0	1	0.0625	0	0	0	0	0.9375	0.0625	0
POP27	E-W	South	0.716744006	4.47	5	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0.2	0	0	0	0.8	1	0	0	0	0.1	0	1	0	0	0	0.2	0	0.6	0.4	0
POP28	N	North	0.745971978	5.74	9	0	0	0	0	0	0	0	0.166666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.777777778	0.5	0	0	0.166666667	0.222222222	0	1	0	0	0	0	0	0.444444444	0.222222222	0
POP29	E-W	South	0.385233015	3.94	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4375	0	0	0	0	0	0.0625	0.9375	1	0	0	0	0	0	1	0	0	0	0.1875	0.0625	0.8125	0.1875	0
POP30	N	North	0.321651012	4.33	10	0	0	0	0.25	0	0	0	0.2	0	0	0	0	0	0	0.2	0	0.2	0	0	0	0	0	0	0.7	0.65	0	0	0.2	0.25	0	0.95	0	0	0	0.05	0	0.65	0.35	0
POP31	E	South	0.804340005	5.75	10	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0.1	0.2	0	0	0	0.45	1	0	0	0	0.6	0	1	0	0	0	0	0	0.444444444	0.5	0
POP32	N	North	0.250813007	4.50	8	0	0	0	0	0	0.125	0	0.3125	0	0	0	0	0	0	0	0	0	0	0	0.1875	0	0	0	0.875	0.375	0	0	0.375	0.0625	0	0.9375	0	0	0	0	0.0625	0.6875	0.125	0
POP33	N	North	0.488519996	6.10	9	0	0	0	0	0	0	0	0.166666667	0	0	0	0.055555556	0	0	0	0	0.166666667	0	0	0	0	0	0	0.5	0.388888889	0	0	0.055555556	0.166666667	0	0.666666667	0	0	0	0	0	0.277777778	0.5	0
POP34	E-W	South	0.64943099	5.92	8	0	0.0625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3125	0	0	0	0	0	0	0.875	1	0	0	0	0.125	0	1	0	0.0625	0.0625	0.4375	0	0.4375	0.5625	0
POP35	E-W	South	0.424524993	3.53	10	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0.2	0	0	0	0.65	1	0	0	0	0.2	0	1	0	0	0	0.05	0	0.6	0.3	0
POP36	E-W	South	0.213267997	3.80	10	0	0.1	0	0	0	0	0	0	0	0.05	0.1	0	0	0	0	0	0.15	0	0	0.35	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0.95	0	0
POP37	E-W	South	0.500217974	5.44	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0.05	0.1	0.05	0	0	0.8	1	0	0	0	0.15	0	1	0	0	0	0.05	0	0.8	0.2	0
